Taxon,Colour
Abditibacteriota,#3300cc
Acidobacteriota,#bfef45
Actinomycetota,#e6194B
Aquificota,#7FFF00
Armatimonadota,#800000
Atribacterota,#CC0099
BS750m-G25,#abeb34
Bacillota,#405E9C
Bacteroidota,#2BA16E
Balneolota,#DA70D6
Bdellovibrionota,#000075
Caldisericota,#B3FF66
Calditrichota,#0099CC
Campylobacterota,#f58231
candidate division AD1,#5e6557
candidate division AD2,#5e6557
candidate division CPR1,#5e6557
candidate division CPR2,#5e6557
candidate division CPR3,#5e6557
candidate division CSSED10-310,#5e6557
candidate division FCPU426,#5e6557
candidate division JL-ETNP-Z39,#5e6557
candidate division KD3-62,#5e6557
candidate division LCP-89,#5e6557
candidate division WOR-3,#5e6557
candidate division WWE3,#5e6557
candidate division ZB2,#5e6557
Candidatus Abawacaibacteriota,#8a7e94
Candidatus Absconditibacteriota,#8a7e94
Candidatus Adleribacteriota,#8a7e94
Candidatus Aerophobota,#8a7e94
Candidatus Altimarinota,#8a7e94
Candidatus Amesiibacteriota,#8a7e94
Candidatus Aminicenantota,#8a7e94
Candidatus Anderseniibacteriota,#8a7e94
Candidatus Auribacterota,#8a7e94
Candidatus Azamiibacteriota,#8a7e94
Candidatus Beckwithiibacteriota,#8a7e94
Candidatus Berkelbacteria,#8a7e94
Candidatus Binatota,#8a7e94
Candidatus Bipolaricaulota,#8a7e94
Candidatus Blackallbacteria,#8a7e94
Candidatus Blackburniibacteriota,#8a7e94
Candidatus Brenneribacteriota,#8a7e94
Candidatus Buchananiibacteriota,#8a7e94
Candidatus Caldatribacteriota,#8a7e94
Candidatus Caldipriscota,#8a7e94
Candidatus Calescibacteriota,#8a7e94
Candidatus Campbelliibacteriota,#8a7e94
Candidatus Canglongiota,#8a7e94
Candidatus Cerribacteria,#8a7e94
Candidatus Chisholmiibacteriota,#8a7e94
Candidatus Cloacimonadota,#8a7e94
Candidatus Coatesiibacteriota,#8a7e94
Candidatus Collieribacteriota,#8a7e94
Candidatus Colwelliibacteriota,#8a7e94
Candidatus Cryosericota,#8a7e94
Candidatus Curtissiibacteriota,#8a7e94
Candidatus Daviesiibacteriota,#8a7e94
Candidatus Deferrimicrobiota,#8a7e94
Candidatus Delongiibacteriota,#8a7e94
Candidatus Desantisiibacteriota,#8a7e94
Candidatus Dormiibacterota,#8a7e94
Candidatus Doudnaibacteriota,#8a7e94
Candidatus Edwardsiibacteriota,#8a7e94
Candidatus Effluviviacota,#8a7e94
Candidatus Eiseniibacteriota,#8a7e94
Candidatus Electryoneota,#8a7e94
Candidatus Elulimicrobiota,#8a7e94
Candidatus Falkowiibacteriota,#8a7e94
Candidatus Fermentibacterota,#8a7e94
Candidatus Fervidibacterota,#8a7e94
Candidatus Firestoneibacteriota,#8a7e94
Candidatus Fischeribacteriota,#8a7e94
Candidatus Fraseribacteriota,#8a7e94
Candidatus Giovannoniibacteriota,#8a7e94
Candidatus Glassiibacteriota,#8a7e94
Candidatus Goldiibacteriota,#8a7e94
Candidatus Gottesmaniibacteriota,#8a7e94
Candidatus Gribaldobacteria,#8a7e94
Candidatus Handelsmaniibacteriota,#8a7e94
Candidatus Harrisoniibacteriota,#8a7e94
Candidatus Heilongiota,#8a7e94
Candidatus Hinthialibacterota,#8a7e94
Candidatus Hydrogenedentota,#8a7e94
Candidatus Hydrothermota,#8a7e94
Candidatus Jacksoniibacteriota,#8a7e94
Candidatus Joergenseniibacteriota,#8a7e94
Candidatus Kaiseribacteriota,#8a7e94
Candidatus Kapaibacteriota,#8a7e94
Candidatus Kerfeldiibacteriota,#8a7e94
Candidatus Komeiliibacteriota,#8a7e94
Candidatus Krumholzibacteriota,#8a7e94
Candidatus Kryptoniota,#8a7e94
Candidatus Kueneniibacteriota,#8a7e94
Candidatus Latescibacterota,#8a7e94
Candidatus Lernaellota,#8a7e94
Candidatus Levyibacteriota,#8a7e94
Candidatus Lindowiibacteriota,#8a7e94
Candidatus Liptoniibacteriota,#8a7e94
Candidatus Lithacetigenota,#8a7e94
Candidatus Lloydiibacteriota,#8a7e94
Candidatus Macinerneyibacteriota,#8a7e94
Candidatus Magasanikiibacteriota,#8a7e94
Candidatus Margulisiibacteriota,#8a7e94
Candidatus Melainabacteria,#8a7e94
Candidatus Methylomirabilota,#8a7e94
Candidatus Microgenomatota,#8a7e94
Candidatus Moduliflexota,#8a7e94
Candidatus Moraniibacteriota,#8a7e94
Candidatus Muiribacteriota,#8a7e94
Candidatus Nealsoniibacteriota,#8a7e94
Candidatus Niyogiibacteriota,#8a7e94
Candidatus Nomuraibacteriota,#8a7e94
Candidatus Omnitrophota,#8a7e94
Candidatus Parcubacteria,#8a7e94
Candidatus Parcunitrobacterota,#8a7e94
Candidatus Peregrinibacteriota,#8a7e94
Candidatus Poribacteria,#8a7e94
Candidatus Portnoyibacteriota,#8a7e94
Candidatus Qinglongiota,#8a7e94
Candidatus Ratteibacteria,#8a7e94
Candidatus Raymondiibacteriota,#8a7e94
Candidatus Rifleibacteriota,#8a7e94
Candidatus Roizmaniibacteriota,#8a7e94
Candidatus Rokuibacteriota,#8a7e94
Candidatus Ryaniibacteriota,#8a7e94
Candidatus Saccharimonadota,#8a7e94
Candidatus Salinosulfoleibacteria,#8a7e94
Candidatus Schekmaniibacteriota,#8a7e94
Candidatus Shapironibacteriota,#8a7e94
Candidatus Spechtiibacteriota,#8a7e94
Candidatus Stahliibacteriota,#8a7e94
Candidatus Staskawicziibacteriota,#8a7e94
Candidatus Sumerlaeota,#8a7e94
Candidatus Sungiibacteriota,#8a7e94
Candidatus Sysuimicrobiota,#8a7e94
Candidatus Tagaibacteriota,#8a7e94
Candidatus Tayloriibacteriota,#8a7e94
Candidatus Tectimicrobiota,#8a7e94
Candidatus Terryibacteriota,#8a7e94
Candidatus Tharpellota,#8a7e94
Candidatus Tianyaibacteriota,#8a7e94
Candidatus Uhriibacteriota,#8a7e94
Candidatus Vebleniibacteriota,#8a7e94
Candidatus Vogeliibacteriota,#8a7e94
Candidatus Walliibacteriota,#8a7e94
Candidatus Wildermuthiibacteriota,#8a7e94
Candidatus Wirthbacteria,#8a7e94
Candidatus Woeseibacteriota,#8a7e94
Candidatus Wolfeibacteriota,#8a7e94
Candidatus Woykeibacteriota,#8a7e94
Candidatus Yanofskyibacteriota,#8a7e94
Candidatus Yonathiibacteriota,#8a7e94
Candidatus Zambryskiibacteriota,#8a7e94
Candidatus Zixiibacteriota,#8a7e94
Chlamydiota,#8B00FF
Chlorobiota,#FF00FF
Chloroflexota,#fabed4
Chrysiogenota,#D193E6
Coprothermobacterota,#CC3322
Cyanobacteriota,#41A2A4
Deferribacterota,#7FFFD4
Deinococcota,#FFD700
Dictyoglomota,#B366FF
Elusimicrobiota,#4B0082
Fibrobacterota,#87CEEB
Fidelibacterota,#FA8072
Fusobacteriota,#9A6324
Gemmatimonadota,#9A6324
Ignavibacteriota,#307D7E
Kiritimatiellota,#00CC99
Lentisphaerota,#DC3C4D
Marinisomatota,#03fc8c
Minisyncoccota,#341539
Mycoplasmatota,#911eb4
Myxococcota,#aaffc3
Nitrospinota,#FFDAB9
Nitrospirota,#ffd8b1
Planctomycetota,#469990
Pseudomonadota,#ffe119
Rhodothermota,#D2691E
SAR324,#eb9234
Spirochaetota,#BB3558
Synergistota,#2E8B57
Thermodesulfobacteriota,#BFA62B
Thermodesulfobiota,#00a060
Thermomicrobiota,#9900CC
Thermosulfidibacterota,#CC0033
Thermotogota,#9966ff
Verrucomicrobiota,#D72DA5
Vulcanimicrobiota,#D2B48C
Zhurongbacterota,#1C2541
Other,#303030
