Taxon,Colour
p__2-12-FULL-45-22,#FFDAB9
4484-113,#469990
4572-55,#8a7e94
Abyssobacteria,#8a7e94
Acidobacteriota,#bfef45
Actinomycetota,#e6194B
Aerophobota,#8a7e94
Aquificota,#7FFF00
Arandabacterota,#8a7e94
Armatimonadota,#800000
ARS69,#9A6324
Atribacterota,#CC0099
AUK180,#8a7e94
Auribacterota,#8a7e94
B130-G9,#8a7e94
Babelota,#8a7e94
Bacillota,#405E9C
Bacteroidota,#2BA16E
Bacteroidota_A,#3cb44b
Bdellovibrionota,#000075
Bdellovibrionota_B,#000078
Bdellovibrionota_F,#000075
Bdellovibrionota_G,#000075
Bipolaricaulota,#8a7e94
BS750m-G25,#abeb34
CAKKQC01,#8a7e94
Caldisericota,#B3FF66
Calditrichota,#0099CC
Calescibacteriota,#8a7e94
Campylobacterota,#f58231
Chlamydiota,#8B00FF
Chloroflexota,#fabed4
Chrysiogenota,#D193E6
Cloacimonadota,#8a7e94
Coprothermobacterota,#CC3322
CSSED10-310,#5e6557
Cyanobacteriota,#41A2A4
Deinococcota,#FFD700
Desantisbacteria,#8a7e94
Desulfobacterota,#BfA62B
Desulfobacterota_B,#dcbeff
Desulfobacterota_C,#dcbeff
Desulfobacterota_D,#dcbeff
Desulfobacterota_E,#dcbeff
Desulfobacterota_G,#dcbeff
Desulfobacterota_I,#dcbeff
Dictyoglomota,#B366FF
DYJV01,#8a7e94
Edwardsbacteria,#8a7e94
Electryoneota,#8a7e94
Elusimicrobiota,#4B0082
Fermentibacterota,#8a7e94
Fibrobacterota,#87CEEB
Fusobacteriota,#9A6324
GCA-2686955,#9A6324
Gemmatimonadota,#9A6324
Hinthialibacterota,#8a7e94
Hydrogenedentota,#8a7e94
Joyebacterota,#8a7e94
Krumholzibacteriota,#8a7e94
Latescibacterota,#8a7e94
Lernaellota,#8a7e94
Lindowbacteria,#8a7e94
Lithacetigenota,#8a7e94
Margulisbacteria,#8a7e94
Marinisomatota,#03fc8c
Mcinerneyibacteriota,#8a7e94
Methylomirabilota,#8a7e94
Moduliflexota,#8a7e94
Muiribacteriota,#8a7e94
Myxococcota,#aaffc3
Myxococcota_A,#aaffc3
Nitrospinota,#FFDAB9
Nitrospirota,#ffd8b1
Nitrospirota_A,#ffd8b1
Nitrospirota_B,#ffd8b1
NPL-UPA2,#8a7e94
Omnitrophota,#8a7e94
Orphanbacterota,#8a7e94
Patescibacteriota,#8a7e94
Planctomycetota,#469990
Poribacteria,#8a7e94
Pseudomonadota,#ffe119
PUNC01,#8a7e94
Ratteibacteria,#8a7e94
SAR324,#eb9234
Spirochaetota,#BB3558
Sumerlaeota,#8a7e94
Synergistota,#2E8B57
Sysuimicrobiota,#8a7e94
Thermodesulfobiota,#00a060
Thermosulfidibacterota,#dcbeff
Thermotogota,#9966ff
Verrucomicrobiota,#D72DA5
Vulcanimicrobiota,#D2B48C
Zhuqueibacterota,#8a7e94
Zixibacteria,#8a7e94
Other,#303030
